WINNERS BRACKET,,
Player,Score,Link
MrPietrek,01:54.83,https://youtu.be/3aUJwj8-8a8
Fraise Tagada,02:49.25,https://www.youtube.com/watch?v=gNFLbOxJNdU
Jandalf,01:49.50,https://www.youtube.com/watch?v=7ukiN22YOsc
philia093,02:44.33,https://youtu.be/ChtB7Nobivs
Handford,02:18.28,https://www.youtube.com/watch?v=AJmVpWM3Zdo
Miro,02:30.61,https://www.youtube.com/watch?v=4ZcccbJxEuc
meow,02:52.66,https://youtu.be/vUt6cPzRpRI
Rubikscuber,02:06.76,https://www.youtube.com/watch?v=l8r2v_2WFVU
Guanium,02:31.43,https://www.youtube.com/watch?v=vakwtTujP5Q
Cat Detective,No Submission,
MABO YT,03:30.31,https://youtu.be/Qx_D7dPyDNo
Dollar $ign,02:22.80,https://youtu.be/FY06Ho1T2-A
LazyLizard,01.57.71,https://www.youtube.com/watch?v=sgDruYwTGLE
Mostafa,No Submission,
MackanRules,02:18.30,https://youtu.be/FtMXoiDppDM
Poi,No Submission,
Chip,02:23.65,https://www.youtube.com/watch?v=IAslCNj7-7M
Siy,02:31.43,https://youtube.com/watch?v=1faTDvDn7Vs&si=pfhLEiKWN9pTUIan
ISAB,02:05.55,https://youtu.be/O-02JD5ryL0
kduel1,02:04.80,https://youtu.be/Wc2hYU9fWAE?si=N5lhQW1Mk4bV8viN
lenndoli,01:58.08,https://www.youtube.com/watch?v=MIR5jTglRbI
SecretIdentity,02:19.93,https://youtu.be/lG7egHKrlG4
animal,01:54.06,https://youtu.be/Oje2I1-bDoU
Dongyunboffin,No Submission,
Mehalic POPs,02:03.61,https://www.youtube.com/watch?v=FPNpfGU5TAU
F7shGang,No Submission,
Darth Plague,03:05.21,https://www.youtube.com/watch?v=QyIegA7wEl8
Secno,Tier1 - 00:48.63,https://www.youtube.com/watch?v=M8W3ysC2xZY
Kapu,02:04.46,https://www.youtube.com/watch?v=7jlvCiZ5PHU
NekoLapis,No Submission,
Katabu,02:22.50,https://www.youtube.com/watch?v=mgQiMnXzEgc
mdrouge,02:11.11,https://youtu.be/VIitTCgKyX0
