LOSERS BRACKET,,
Player,Score,Link
mdrouge,21 (44:39.06),https://www.youtube.com/watch?v=hmJ0Wwt7mcs
philia093,23 (45:22.86),https://youtu.be/dq1HHFyC2PQ
Darth,24 (42:10.40),https://youtu.be/G1-eYZDO2Cg
meow,18 (42:03.53),https://youtu.be/iuP9VFebnlo
animal,21 (38:19.73),https://youtu.be/dB-ipp-C5Mo
MABO,28 (47:08.56),https://youtu.be/HChZoCVeyeM
Chip,DNS,
Poi,26 (49:29.20),https://www.youtube.com/watch?v=r00Y8ytWtZQ
Mackan,23 (46:24.48),https://www.youtube.com/watch?v=qqVjDbCkUKQ
ISAB,18 (44:17.30),https://www.youtube.com/watch?v=qOnccJ7wOoI
Guanium,21 (43:42.23),https://www.youtube.com/watch?v=HAT_wWmjdbY
SecretId.,21 (49:56.10),https://youtu.be/LJZ9oDqOfjI
Rubiks.,23 (48:29.88),https://www.youtube.com/watch?v=mwu0jdQgwjE
Secno,28 (45:58.90),https://youtu.be/G8dO3YScKMI
Jandalf,25 (55:46.16),https://youtu.be/Ug8YuolOnoc
Katabu,18 (50:38.03),https://www.youtube.com/watch?v=15kWswoHnE0
